model,slope,benchmark,bias,type
CMAQ,1,CMAQ,0,EMI
GC,0.9760076,CMAQ,-2.39924,EMI
KZ,0.7726824,CMAQ,-22.73176,EMI
MLR,0.8724902,CMAQ,-12.75098,EMI
RF,0.972352,CMAQ,-2.7648,EMI
XGB,0.9705827,CMAQ,-2.94173,EMI
CMAQ,0.9169298,GC,-8.30702,EMI
GC,1,GC,0,EMI
KZ,0.7485649,GC,-25.14351,EMI
MLR,0.8350095,GC,-16.49905,EMI
RF,0.9279501,GC,-7.20499,EMI
XGB,0.926918,GC,-7.3082,EMI
CMAQ,0.7010451,KZ,-29.89549,EMI
GC,0.7229222,KZ,-27.70778,EMI
KZ,1,KZ,0,EMI
MLR,1.0746461,KZ,7.46461,EMI
RF,1.1021113,KZ,10.21113,EMI
XGB,1.0960466,KZ,9.60466,EMI
CMAQ,0.6519038,MLR,-34.80962,EMI
GC,0.664097,MLR,-33.5903,EMI
KZ,0.8850004,MLR,-11.49996,EMI
MLR,1,MLR,0,EMI
RF,1.0175791,MLR,1.75791,EMI
XGB,1.0112403,MLR,1.12403,EMI
CMAQ,0.5990049,RF,-40.09951,EMI
GC,0.6084832,RF,-39.15168,EMI
KZ,0.74832,RF,-25.168,EMI
MLR,0.8389809,RF,-16.10191,EMI
RF,1,RF,0,EMI
XGB,0.9771675,RF,-2.28325,EMI
CMAQ,0.6031991,XGB,-39.68009,EMI
GC,0.613178,XGB,-38.6822,EMI
KZ,0.7507792,XGB,-24.92208,EMI
MLR,0.8411231,XGB,-15.88769,EMI
RF,0.9858035,XGB,-1.41965,EMI
XGB,1,XGB,0,EMI
CMAQ,1,CMAQ,0,MET
GC,1.0654983,CMAQ,6.54983,MET
KZ,0.2072484,CMAQ,-79.27516,MET
MLR,0.3360683,CMAQ,-66.39317,MET
RF,0.7049129,CMAQ,-29.50871,MET
XGB,0.7228277,CMAQ,-27.71723,MET
CMAQ,0.6254928,GC,-37.45072,MET
GC,1,GC,0,MET
KZ,0.1939378,GC,-80.60622,MET
MLR,0.3397887,GC,-66.02113,MET
RF,0.463576,GC,-53.6424,MET
XGB,0.429317,GC,-57.0683,MET
CMAQ,0.15749881,KZ,-84.250119,MET
GC,0.25106085,KZ,-74.893915,MET
KZ,1,KZ,0,MET
MLR,0.70052951,KZ,-29.947049,MET
RF,0.03260871,KZ,-96.739129,MET
XGB,0.14639006,KZ,-85.360994,MET
CMAQ,0.3576452,MLR,-64.23548,MET
GC,0.6159766,MLR,-38.40234,MET
KZ,0.9809913,MLR,-1.90087,MET
MLR,1,MLR,0,MET
RF,0.1125093,MLR,-88.74907,MET
XGB,0.2131827,MLR,-78.68173,MET
CMAQ,0.50098086,RF,-49.901914,MET
GC,0.56122515,RF,-43.877485,MET
KZ,0.03049532,RF,-96.950468,MET
MLR,0.07513618,RF,-92.486382,MET
RF,1,RF,0,MET
XGB,0.89353762,RF,-10.646238,MET
CMAQ,0.4240646,XGB,-57.59354,MET
GC,0.4290479,XGB,-57.09521,MET
KZ,0.1130115,XGB,-88.69885,MET
MLR,0.1175234,XGB,-88.24766,MET
RF,0.7376059,XGB,-26.23941,MET
XGB,1,XGB,0,MET
